symbol,date,expiry,option_type,strike,open_option,high_option,low_option,close_option,ltp_option,settle_price_option,no_of_contracts,turnover_in_lacs_option,premium_turnover_in_lacs,open_interest,change_in_oi,open_ul,high_ul,low_ul,close_ul,shares_traded_ul,turnover_in_cr_ul,log_returns_ul,vol_close_to_close,vol_parkinson,k_minus_s_open,k_minus_s_close,days_to_expiry,implied_volatility,moneyness_close,d1,d2,delta,gamma,theta,vega,rho,vanna,charm,volga
NIFTY,2010-12-21,2011-01-27,PE,5300,15.0,15.0,10.6,11.05,11.0,11.05,2826,7505.62,-,622050,24050,5960.4,6007.45,5960.05,6000.65,126542972.0,6485.84,0.0089724984041726,0.1684840814227423,0.1778197852614945,-660.3999999999996,-700.6499999999996,37,0.2561515659483454,0.1242,1.6253427873156343,1.5437876271385989,-0.0520447696184487,0.0002175775,-0.7042,2.0343,-32.77818575615469,-0.0064173279,-0.002,19.9275
NIFTY,2010-12-21,2011-01-27,PE,5400,20.15,21.0,16.0,16.45,16.2,16.45,5828,15787.94,-,975600,-8950,5960.4,6007.45,5960.05,6000.65,126542972.0,6485.84,0.0089724984041726,0.1684840814227423,0.1778197852614945,-560.3999999999996,-600.6499999999996,37,0.2480614749390819,0.1055,1.4390616863093553,1.360082300618275,-0.0750665230503732,0.0002988877,-0.9072,2.7063,-47.32938660222548,-0.0077665122,-0.0024,21.353
NIFTY,2010-12-22,2011-01-27,PE,5200,7.0,9.0,6.75,8.05,8.1,8.05,2304,5999.31,-,692250,12650,6019.0,6023.8,5958.0,5984.4,118823292.0,5864.21,-0.0027117133358163,0.1634944897488049,0.170257777020294,-819.0,-784.3999999999996,36,0.2683497956862007,0.1405,1.7677568576411726,1.6834804360305604,-0.0385507800791157,0.0001658082,-0.5858,1.5717,-23.5482608427788,-0.0052461354,-0.0018,17.4296
NIFTY,2010-12-22,2011-01-27,PE,5300,10.1,11.7,8.8,10.15,10.5,10.15,2374,6302.87,-,680400,58350,6019.0,6023.8,5958.0,5984.4,118823292.0,5864.21,-0.0027117133358163,0.1634944897488049,0.170257777020294,-719.0,-684.3999999999996,36,0.2507003141414725,0.1214,1.6445377427495147,1.5658042176559976,-0.0500325873841082,0.000219005,-0.6753,1.9394,-30.53243077649062,-0.0064449118,-0.0021,19.9199
NIFTY,2010-12-22,2011-01-27,PE,5400,15.0,18.0,13.25,15.2,16.0,15.2,5180,14024.55,-,1003700,28100,6019.0,6023.8,5958.0,5984.4,118823292.0,5864.21,-0.0027117133358163,0.1634944897488049,0.170257777020294,-619.0,-584.3999999999996,36,0.2419419401333231,0.1028,1.4552657261138158,1.3792828065076137,-0.072797855620104,0.0003042982,-0.8739,2.6005,-44.467553585209295,-0.0078882046,-0.0024,21.5748
NIFTY,2010-12-23,2011-01-27,PE,5200,7.6,8.2,5.5,5.75,5.55,5.75,3639,9473.45,-,712000,19750,6005.9,6006.45,5964.6,5980.0,85460029.0,4301.17,-0.0007355153953996,0.1584248807432586,0.1638144372523996,-805.8999999999996,-780.0,35,0.2546138083358005,0.1398,1.8728674354723287,1.7940232732622203,-0.030543346493459,0.0001464761,-0.4652,1.2789,-18.065669866001496,-0.0048661275,-0.0016,16.8764
NIFTY,2010-12-23,2011-01-27,PE,5300,9.9,10.25,7.75,8.2,7.8,8.2,3193,8475.94,-,760650,80250,6005.9,6006.45,5964.6,5980.0,85460029.0,4301.17,-0.0007355153953996,0.1584248807432586,0.1638144372523996,-705.8999999999996,-680.0,35,0.2421326107269887,0.1207,1.7113971306714264,1.6364179181876408,-0.0435039132605963,0.0002057168,-0.5908,1.7081,-25.732526073125,-0.0062337986,-0.002,19.7557
NIFTY,2010-12-23,2011-01-27,PE,5400,15.4,16.2,12.55,13.25,13.3,13.25,3541,9585.91,-,1009700,6000,6005.9,6006.45,5964.6,5980.0,85460029.0,4301.17,-0.0007355153953996,0.1584248807432586,0.1638144372523996,-605.8999999999996,-580.0,35,0.2360524220154577,0.102,1.497852997353912,1.42475658686022,-0.0670857239265936,0.000297255,-0.8114,2.4061,-39.73916538676862,-0.0078425741,-0.0024,21.7529
NIFTY,2011-01-17,2011-02-24,PE,5000,18.1,26.5,18.1,24.25,24.4,24.25,4213,10581.21,-,302550,114750,5648.8,5696.15,5624.15,5654.75,148497108.0,6417.27,3.5369120992478426e-05,0.1815703951356123,0.1642130372374504,-648.8000000000002,-654.75,38,0.3073027953587621,0.1231,1.3431506503306152,1.2439962763592738,-0.0896115987752221,0.0002886952,-1.1942,2.9534,-55.28022574190678,-0.0065526558,-0.0024,16.0583
NIFTY,2011-01-17,2011-02-24,PE,5100,27.55,35.0,25.05,32.4,31.0,32.4,9319,23910.08,-,401800,277000,5648.8,5696.15,5624.15,5654.75,148497108.0,6417.27,3.5369120992478426e-05,0.1815703951356123,0.1642130372374504,-548.8000000000002,-554.75,38,0.2952356427274938,0.1033,1.1861979606958386,1.0909371763137918,-0.1177720657072329,0.0003664731,-1.3992,3.6019,-72.70717067138224,-0.0072945853,-0.0025,15.7876
